Abilene Christian,ACU
Alabama A&M,AAMU
Alabama St.,ALST
Albany (NY),ALBY
Alcorn,ALCN
Ark.-Pine Bluff,UAPB
Austin Peay,PEAY
Bethune-Cookman,BCU
Brown,BRWN
Brown,BRY
Bucknell,BUCK
Butler,BUT
Cal Poly,CP
Campbell,CAMP
Central Ark.,UCA
Central Conn. St.,CCSU
Charleston So.,CHSO
Chattanooga,CHAT
Colgate,COLG
Columbia,CLMB
Cornell,COR
Dartmouth,DART
Davidson,DAV
Dayton,DAY
Delaware,DEL
Delaware St.,DSU
Drake,DRKE
Duquesne,DUQ
Eastern Ill.,EIU
Eastern Ky.,EKY
Eastern Wash.,EWU
Elon,ELON
ETSU,ETSU
Florida A&M,FAMU
Fordham,FOR
Furman,FUR
Gardner-Webb,WEBB
Georgetown,GTWN
Grambling,GRAM
Hampton,HAMP
Harvard,HARV
Holy Cross,HC
Houston Baptist,HBU
Howard,HOW
Idaho St.,IDST
Illinois St.,ILST
Incarnate Word,IW
Indiana St.,INST
Jackson St.,JKST
Jacksonville,JAC
Jacksonville St.,JVST
James Madison,JMU
Kennesaw St.,KENN
Lafayette,LAF
Lamar University,LAM
Lehigh,LEH
Liberty,LIB
Maine,MAINE
Marist,MRST
McNeese,MCNS
Mercer,MER
Mississippi Val.,MVSU
Missouri St.,MOST
Monmouth,MONM
Montana,MONT
Montana St.,MONT
Morehead St.,MORE
Morgan St.,MORG
Murray St.,MURR
N.C. A&T,NCAT
N.C. Central,NCCU
New Hampshire,UNH
Nicholls St.,NICH
Norfolk St.,NSU
North Dakota,UND
North Dakota St.,NDSU
Northern Ariz.,NAU
Northern Colo.,UNCO
Northwestern St.,NWST
Penn,PENN
Portland St.,PRST
Prairie View,PVAM
Presbyterian,PRES
Princeton,PRIN
Rhode Island,URI
Richmond,RICH
Robert Morris,RMU
Sacramento St.,SAC
Sacred Heart,SHU
Saint Francis (PA),SFU
Sam Houston St.,SHSU
Samford,SAM
San Diego,USD
Savannah St.,SAV
SFA,SFA
South Carolina St.,SCST
South Dakota,SDAK
South Dakota St.,SDSU
Southeast Mo. St.,SEMO
Southeastern La.,SELA
Southern Ill.,SIU
Southern U.,SOU
Southern Utah,SUU
Stetson,STET
Stony Brook,STON
Tennessee St.,TNST
Tennessee Tech,TNTC
Texas Southern,TXSO
The Citadel,CIT
Towson,TOWS
UC Davis,UCD
UNI,UNI
UT Martin,UTM
Valparaiso,VALP
Villanova,NOVA
VMI,VMI
Wagner,WAG
Weber St.,WEB
Western Caro.,WCU
Western Ill.,WIU
William & Mary,W&M
Wofford,WOF
Yale,YALE
Youngstown St.,YSU
